artist,artist_count
"Morgan Wallen",7
"Kendrick Lamar",6
Drake,4
"Teddy Swims",4
"Benson Boone",3
SZA,3
"Bad Bunny",3
"The Weeknd",3
"Jelly Roll",3
"Sabrina Carpenter",3
Shaboozey,3
"Neton Vega",3
sombr,2
"Thomas Rhett",2
PARTYNEXTDOOR,2
"Billie Eilish",2
"Kane Brown",2
"Playboi Carti",2
"Jason Aldean",2
Doechii,2
BigXthaPlug,2
"Chappell Roan",2
"Bailey Zimmerman",2
"Post Malone",2
"Lady Gaga",2
"Bruno Mars",2
"Sleep Token",2
"Lola Young",2
Lorde,2
"Tate McRae",2
"AZ Chike",1
"Jessie Murph",1
"Ravyn Lenae",1
"Tucker Wetmore",1
"Jack Black",1
"Leon Thomas",1
"Sam Barber",1
"Charli xcx",1
"Avery Anna",1
"Hudson Westbrook",1
"Megan Moroney",1
"Gigi Perez",1
"Grupo Frontera",1
"Fuerza Regida",1
Yebba,1
"Ed Sheeran",1
"John Morgan",1
d4vd,1
"The Marías",1
"Nate Smith",1
"Zach Top",1
"Myles Smith",1
"Blake Shelton",1
"Brandon Lake",1
YKNIECE,1
PLUTO,1
"Peso Pluma",1
"Don Toliver",1
"Forrest Frank",1
"Chris Brown",1
"Riley Green",1
"Ella Langley",1
GIVĒON,1
"Lefty Gunplay",1
Future,1
"Young Thug",1
Chuckyy,1
"Miley Cyrus",1
ROSÉ,1
"Russell Dickerson",1
"The Creator",1
Tyler,1
"Alex Warren",1
Alemán,1
"Lil Tecca",1
"Gracie Abrams",1
"Ariana Grande",1
